Date,Price,EB
2022-09-26,19234.49736493,2559586.81849874
2022-09-27,19080.96689323,2563357.57871629
2022-09-28,19411.17904875,2566138.07106555
2022-09-29,19594.86156032,2562469.00069853
2022-09-30,19422.80221717,2560667.99528943
2022-10-01,19312.83616034,2557368.1930865
2022-10-02,19057.11919363,2557431.78582459
2022-10-03,19631.55881689,2557924.06110477
2022-10-04,20342.55361649,2558704.82981572
2022-10-05,20161.61557043,2560017.81522786
2022-10-06,19964.75328087,2551081.43186647
2022-10-07,19531.39505698,2535471.87263774
2022-10-08,19419.35194264,2539519.20059616
2022-10-09,19442.12086121,2539859.57886456
2022-10-10,19132.04849266,2542720.39410549
2022-10-11,19058.22700441,2544873.50400047
2022-10-12,19155.70482202,2555957.90848273
2022-10-13,19376.30208304,2552953.25094386
2022-10-14,19178.68706661,2549544.03785769
2022-10-15,19069.89036928,2551049.52554133
2022-10-16,19263.49676367,2550918.73308475
2022-10-17,19550.24140876,2553742.70153788
2022-10-18,19330.96440419,2544824.24182487
2022-10-19,19122.62168898,2546236.30293164
2022-10-20,19048.01478358,2548511.52917611
2022-10-21,19166.50553672,2550608.19730168
2022-10-22,19208.36094609,2552260.58600085
2022-10-23,19579.12324689,2550283.79810976
2022-10-24,19330.12455003,2552598.99608643
2022-10-25,20084.6577305,2552230.44740902
2022-10-26,20783.97537833,2557782.40650758
2022-10-27,20296.92527548,2557413.99428123
2022-10-28,20596.39789795,2553679.63364533
2022-10-29,20819.16231981,2554384.67468364
2022-10-30,20631.60118747,2554278.96953604
2022-10-31,20499.55414811,2561823.7008333
2022-11-01,20479.50150741,2561975.73776063
2022-11-02,20165.0568294,2569770.23346939
2022-11-03,20208.06984544,2568772.35334936
2022-11-04,21148.96203429,2569129.75140649
2022-11-05,21302.08872695,2571126.71876068
2022-11-06,20910.21457226,2572628.1495245
2022-11-07,20591.36857791,2542386.85456508
2022-11-08,18563.68054822,2528993.84267217
2022-11-09,15877.68132724,2489986.84885311
2022-11-10,17649.5561585,2450951.04952502
2022-11-11,17053.99806744,2419722.32052211
